Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source
2018-05-01 00:00:00,2018/05/01,2018 May,Amoebic dysentery,阿米巴性痢疾,103.0,0.0,0.007414889203921535,,全国,Total,100000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2018-05-01 00:00:00,2018/05/01,2018 May,Amoebic dysentery,阿米巴性痢疾,1.0,0.0,0.0046068088635002535,,北京,Beijing,110000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2018-05-01 00:00:00,2018/05/01,2018 May,Amoebic dysentery,阿米巴性痢疾,6.0,0.0,0.01620592326495334,,山西,Shanxi,140000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2018-05-01 00:00:00,2018/05/01,2018 May,Amoebic dysentery,阿米巴性痢疾,5.0,0.0,0.013197134680349033,,黑龙江,Heilongjiang,230000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2018-05-01 00:00:00,2018/05/01,2018 May,Amoebic dysentery,阿米巴性痢疾,1.0,0.0,0.001767722063322668,,浙江,Zhejiang,330000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2018-05-01 00:00:00,2018/05/01,2018 May,Amoebic dysentery,阿米巴性痢疾,2.0,0.0,0.003197544285988361,,安徽,Anhui,340000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2018-05-01 00:00:00,2018/05/01,2018 May,Amoebic dysentery,阿米巴性痢疾,4.0,0.0,0.010227566421140298,,福建,Fujian,350000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2018-05-01 00:00:00,2018/05/01,2018 May,Amoebic dysentery,阿米巴性痢疾,5.0,0.0,0.010817597011020058,,江西,Jiangxi,360000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2018-05-01 00:00:00,2018/05/01,2018 May,Amoebic dysentery,阿米巴性痢疾,25.0,0.0,0.026153017497498515,,河南,Henan,410000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2018-05-01 00:00:00,2018/05/01,2018 May,Amoebic dysentery,阿米巴性痢疾,1.0,0.0,0.0016943407865577238,,湖北,Hubei,420000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2018-05-01 00:00:00,2018/05/01,2018 May,Amoebic dysentery,阿米巴性痢疾,7.0,0.0,0.010203978402900705,,湖南,Hunan,430000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2018-05-01 00:00:00,2018/05/01,2018 May,Amoebic dysentery,阿米巴性痢疾,19.0,0.0,0.017011371824510724,,广东,Guangdong,440000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2018-05-01 00:00:00,2018/05/01,2018 May,Amoebic dysentery,阿米巴性痢疾,13.0,0.0,0.0266120788786931,,广西,Guangxi,450000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2018-05-01 00:00:00,2018/05/01,2018 May,Amoebic dysentery,阿米巴性痢疾,1.0,0.0,0.0032518632119348844,,重庆,Chongqing,500000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2018-05-01 00:00:00,2018/05/01,2018 May,Amoebic dysentery,阿米巴性痢疾,4.0,0.0,0.004818116174634018,,四川,Sichuan,510000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2018-05-01 00:00:00,2018/05/01,2018 May,Amoebic dysentery,阿米巴性痢疾,1.0,0.0,0.002793297181736328,,贵州,Guizhou,520000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2018-05-01 00:00:00,2018/05/01,2018 May,Amoebic dysentery,阿米巴性痢疾,6.0,0.0,0.012498703780262122,,云南,Yunnan,530000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2018-05-01 00:00:00,2018/05/01,2018 May,Amoebic dysentery,阿米巴性痢疾,1.0,0.0,0.0038084937026556624,,甘肃,Gansu,620000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2018-05-01 00:00:00,2018/05/01,2018 May,Amoebic dysentery,阿米巴性痢疾,1.0,0.0,0.004090529471180849,,新疆,Xinjiang,650000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
