Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source
2010-12-01 00:00:00,2010/12/01,2010 December,Malignant malaria,恶性疟,99.0,0.0,0.0074171748638300165,,全国,Total,100000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2010-12-01 00:00:00,2010/12/01,2010 December,Malignant malaria,恶性疟,1.0,0.0,0.0056980037499702275,,北京,Beijing,110000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2010-12-01 00:00:00,2010/12/01,2010 December,Malignant malaria,恶性疟,1.0,0.0,0.0052056180070655855,,上海,Shanghai,310000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2010-12-01 00:00:00,2010/12/01,2010 December,Malignant malaria,恶性疟,25.0,0.0,0.032362454938679557,,江苏,Jiangsu,320000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2010-12-01 00:00:00,2010/12/01,2010 December,Malignant malaria,恶性疟,4.0,0.0,0.007722004889612106,,浙江,Zhejiang,330000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2010-12-01 00:00:00,2010/12/01,2010 December,Malignant malaria,恶性疟,7.0,0.0,0.011417377179563032,,安徽,Anhui,340000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2010-12-01 00:00:00,2010/12/01,2010 December,Malignant malaria,恶性疟,2.0,0.0,0.00551419769429889,,福建,Fujian,350000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2010-12-01 00:00:00,2010/12/01,2010 December,Malignant malaria,恶性疟,1.0,0.0,0.0010559327582019577,,山东,Shandong,370000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2010-12-01 00:00:00,2010/12/01,2010 December,Malignant malaria,恶性疟,9.0,0.0,0.009486669063842532,,河南,Henan,410000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2010-12-01 00:00:00,2010/12/01,2010 December,Malignant malaria,恶性疟,3.0,0.0,0.0052447593708771275,,湖北,Hubei,420000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2010-12-01 00:00:00,2010/12/01,2010 December,Malignant malaria,恶性疟,5.0,0.0,0.0078051815446981915,,湖南,Hunan,430000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2010-12-01 00:00:00,2010/12/01,2010 December,Malignant malaria,恶性疟,13.0,0.0,0.015882726832064906,,四川,Sichuan,510000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2010-12-01 00:00:00,2010/12/01,2010 December,Malignant malaria,恶性疟,28.0,0.0,0.06125573468531157,,云南,Yunnan,530000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
