Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source
2006-07-01 00:00:00,2006/07/01,2006 July,Genital herpes,生殖器疱疹,955.0,0.0,0.07303680639765103,,全国,Total,100000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2006-07-01 00:00:00,2006/07/01,2006 July,Genital herpes,生殖器疱疹,34.0,0.0,0.2210637901672907,,北京,Beijing,110000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2006-07-01 00:00:00,2006/07/01,2006 July,Genital herpes,生殖器疱疹,5.0,0.0,0.0479385328296975,,天津,Tianjin,120000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2006-07-01 00:00:00,2006/07/01,2006 July,Genital herpes,生殖器疱疹,12.0,0.0,0.017515697275970438,,河北,Hebei,130000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2006-07-01 00:00:00,2006/07/01,2006 July,Genital herpes,生殖器疱疹,19.0,0.0,0.05663184880989362,,山西,Shanxi,140000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2006-07-01 00:00:00,2006/07/01,2006 July,Genital herpes,生殖器疱疹,2.0,0.0,0.00838220613546475,,内蒙古,Inner Mongolia,150000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2006-07-01 00:00:00,2006/07/01,2006 July,Genital herpes,生殖器疱疹,17.0,0.0,0.040274825935755966,,辽宁,Liaoning,210000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2006-07-01 00:00:00,2006/07/01,2006 July,Genital herpes,生殖器疱疹,3.0,0.0,0.011045659442437203,,吉林,Jilin,220000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2006-07-01 00:00:00,2006/07/01,2006 July,Genital herpes,生殖器疱疹,11.0,0.0,0.028795865793254896,,黑龙江,Heilongjiang,230000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2006-07-01 00:00:00,2006/07/01,2006 July,Genital herpes,生殖器疱疹,73.0,0.0,0.09765888769924905,,江苏,Jiangsu,320000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2006-07-01 00:00:00,2006/07/01,2006 July,Genital herpes,生殖器疱疹,57.0,0.0,0.11637411337472373,,浙江,Zhejiang,330000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2006-07-01 00:00:00,2006/07/01,2006 July,Genital herpes,生殖器疱疹,52.0,0.0,0.08496730082447367,,安徽,Anhui,340000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
