Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source
2008-08-01 00:00:00,2008/08/01,2008 August,Malaria (unclassified),疟疾（未分型）,718.0,0.0,0.05434083357930507,,全国,Total,100000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2008-08-01 00:00:00,2008/08/01,2008 August,Malaria (unclassified),疟疾（未分型）,3.0,0.0,0.01837091614534089,,北京,Beijing,110000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2008-08-01 00:00:00,2008/08/01,2008 August,Malaria (unclassified),疟疾（未分型）,2.0,0.0,0.00732602208539248,,吉林,Jilin,220000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2008-08-01 00:00:00,2008/08/01,2008 August,Malaria (unclassified),疟疾（未分型）,1.0,0.0,0.002615058863536736,,黑龙江,Heilongjiang,230000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2008-08-01 00:00:00,2008/08/01,2008 August,Malaria (unclassified),疟疾（未分型）,1.0,0.0,0.005382131613677697,,上海,Shanghai,310000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2008-08-01 00:00:00,2008/08/01,2008 August,Malaria (unclassified),疟疾（未分型）,6.0,0.0,0.007868849775867617,,江苏,Jiangsu,320000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2008-08-01 00:00:00,2008/08/01,2008 August,Malaria (unclassified),疟疾（未分型）,7.0,0.0,0.013833988814073798,,浙江,Zhejiang,330000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2008-08-01 00:00:00,2008/08/01,2008 August,Malaria (unclassified),疟疾（未分型）,308.0,0.0,0.5034323873059654,,安徽,Anhui,340000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2008-08-01 00:00:00,2008/08/01,2008 August,Malaria (unclassified),疟疾（未分型）,1.0,0.0,0.002792517850542043,,福建,Fujian,350000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
2008-08-01 00:00:00,2008/08/01,2008 August,Malaria (unclassified),疟疾（未分型）,5.0,0.0,0.011446870723162927,,江西,Jiangxi,360000,missing,https://www.phsciencedata.cn/Share/ky_sjml.jsp,The Data-center of China Public Health Science
