Date,YearMonthDay,YearMonth,Diseases,DiseasesCN,Cases,Deaths,Incidence,Mortality,ProvinceCN,Province,ADCode,DOI,URL,Source
2020-08-01,2020/08/01,2020 August,Typhus,恙虫病,138,0,-10,-10,全国,China,100000,doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-08-01,2020/08/01,2020 August,Typhoid fever and paratyphoid fever,伤寒和副伤寒,830,0,-10,-10,全国,China,100000,doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-08-01,2020/08/01,2020 August,Tuberculosis,肺结核,76423,131,-10,-10,全国,China,100000,doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-08-01,2020/08/01,2020 August,Total,合计,475076,1766,-10,-10,全国,China,100000,doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-08-01,2020/08/01,2020 August,Syphilis,梅毒,46838,9,-10,-10,全国,China,100000,doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-08-01,2020/08/01,2020 August,Schistosomiasis,血吸虫病,10,0,-10,-10,全国,China,100000,doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-08-01,2020/08/01,2020 August,Scarlet fever,猩红热,763,0,-10,-10,全国,China,100000,doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-08-01,2020/08/01,2020 August,SARS-CoV,SARS,0,0,-10,-10,全国,China,100000,doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-08-01,2020/08/01,2020 August,Rubella,风疹,96,0,-10,-10,全国,China,100000,doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,China CDC Weekly: Notifiable Infectious Diseases Reports
2020-08-01,2020/08/01,2020 August,Rabies,狂犬病,23,15,-10,-10,全国,China,100000,doi/10.46234/ccdcw2020.208,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.208,China CDC Weekly: Notifiable Infectious Diseases Reports
