Date,YearMonthDay,YearMonth,DiseaseCN,Diseases,Cases,Deaths,ProvinceCN,Province,ADCode,DOI,URL,Source
2021-03-01,2021/03/01,2021 March,鼠疫,Plague,0,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,霍乱,Cholera,0,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,SARS,SARS-CoV,0,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,艾滋病,Acquired immune deficiency syndrome,5951,1710,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,肝炎,Hepatitis,148245,57,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,甲肝,Hepatitis A,1128,1,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,乙肝,Hepatitis B,119423,43,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,丙肝,Hepatitis C,23776,13,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,丁肝,Hepatitis D,27,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,戊肝,Hepatitis E,2991,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,肝炎（未分型）,Other hepatitis,900,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,脊髓灰质炎,Poliomyelitis,0,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,人感染H5N1病毒,Human infection with H5N1 virus,0,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,麻疹,Measles,77,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,出血热,Epidemic hemorrhagic fever,424,1,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,狂犬病,Rabies,13,12,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,乙脑,Japanese encephalitis,0,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,登革热,Dengue,0,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,炭疽,Anthrax,9,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,痢疾,Dysentery,3488,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,肺结核,Tuberculosis,80803,109,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,伤寒和副伤寒,Typhoid fever and paratyphoid fever,487,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,流脑,Meningococcal meningitis,7,2,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,百日咳,Pertussis,220,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,白喉,Diphtheria,0,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,新生儿破伤风,Neonatal tetanus,0,1,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,猩红热,Scarlet fever,1819,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,布病,Brucellosis,7220,1,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,淋病,Gonorrhea,10878,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,梅毒,Syphilis,50682,5,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,钩体病,Leptospirosis,7,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,血吸虫病,Schistosomiasis,0,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,疟疾,Malaria,63,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,人感染H7N9病毒,Human infection with H7N9 virus,0,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,新冠肺炎,COVID-19,305,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,流行性感冒,Influenza,17110,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,流行性腮腺炎,Mumps,9604,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,风疹,Rubella,82,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,急性出血性结膜炎,Acute hemorrhagic conjunctivitis,2885,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,麻风病,Leprosy,63,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,恙虫病,Typhus,35,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,黑热病,Kala azar,13,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,包虫病,Echinococcosis,430,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,丝虫病,Filariasis,0,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,其它感染性腹泻病,Infectious diarrhea,141593,1,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
2021-03-01,2021/03/01,2021 March,手足口病,Hand foot and mouth disease,36206,0,全国,China,100000,doi/10.46234/ccdcw2021.108,https://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2021.108,China CDC Weekly: Notifiable Infectious Diseases Reports
